NUM_CTA,NOMBRE
1200.001.0002,IVA ACREDITABLE PAGADO
2110.001.0002,PROVEEDOR #
2120.001.0002,ACREEDORES DIVERSOS
2130.001.0002,DOCUMENTO #
2140.001.0002,IVA POR PAGAR
2140.002.0002,IEPS POR PAGAR
2140.003.0002,ISR POR PAGAR
2140.004.0002,IMPUESTO SOBRE NOMINAS
2140.005.0002,DERECHOS POR PAGAR
2150.001.0002,RETENCIONES ISR POR SUELDOS Y SALARIOS
2150.002.0002,RETENCIONES ISR POR ASIMILADOS A SALARIO
2150.003.0002,RETENCIONES ISR 10% HONORARIOS
2150.004.0002,RETENCIONES ISR 10% ARRENDAMIENTOS
2150.005.0002,RETENCIONES IVA PERSONAS FISICAS
2150.006.0002,RETENCIONES IVA AUTOTRANSPORTISTAS
2150.007.0002,RETENCIONES IMSS TRABAJADORES
2160.001.0002,PROVISION DE SUELDOS
2160.002.0002,PROVISION DE VACACIONES POR PAGAR
2160.003.0002,PROVISION DE AGUINALDOS POR PAGAR
2160.004.0002,PROVISION DE ASIMILADOS A SALARIOS
2160.005.0002,PROVISION DE OTROS CONCEPTOS DE SUELDOS
2170.001.0002,PROVISION DE IMSS PATRONAL POR PAGAR
2170.002.0002,PROVISION DE SAR POR PAGAR
2170.003.0002,PROVISION DE INFONAVIT POR PAGAR
2180.001.0002,IVA COBRADO
2180.002.0002,IEPS COBRADO
2181.001.0002,IVA NO COBRADO
2181.002.0002,IEPS NO COBRADO
2190.001.0002,ANTICIPO CLIENTE #
2200.001.0002,CREDITO #
3100.001.0002,CAPITAL SOCIAL FIJO
3100.002.0002,CAPITAL SOCIAL VARIABLE
3200.001.0002,RESERVA LEGAL
3210.001.0002,RESERVA PARA REINVERSION
3300.001.0002,RESULTADO EJERCICIO #
3400.001.0002,RESULTADO #
4100.001.0002,VENTAS AL 16%
4100.002.0002,VENTAS AL 0%
4100.003.0002,VENTAS EXENTAS I.V.A.
4100.004.0002,INGRESOS POR SERVICIOS
4200.001.0002,DESCUENTOS Y DEVOLUCIONES I.V.A. AL 16%
4200.002.0002,DESCUENTOS Y DEVOLUCIONES I.V.A. AL 0%
4200.003.0002,DESCUENTOS Y DEVOLUCIONES EXENTAS IVA
5000.001.0002,COSTO DE VENTAS
6100.001.0002,SUELDOS Y SALARIOS
6100.002.0002,ASIMILADOS A SALARIOS
6100.003.0002,HORAS EXTRAS
6100.004.0002,COMISIONES
6100.005.0002,BONOS
6100.006.0002,AGUINALDO
6100.007.0002,VACACIONES
6100.008.0002,PRIMA VACACIONAL
6100.009.0002,PRIMA DE ANTIGÜEDAD
6100.010.0002,PREVISION SOCIAL
6100.011.0002,OTRAS PRESTACIONES
6100.012.0002,PTU
6100.013.0002,CURSOS Y BECAS
6100.014.0002,VALES DE DESPENSA
6100.015.0002,AYUDA DE COMEDOR
6100.016.0002,FONDO DE AHORRO
6100.017.0002,CUOTA I.M.S.S.
6100.018.0002,APORTACIONES AL SAR
6100.019.0002,APORTACIONES AL INFONAVIT
6100.020.0002,IMPUESTO SOBRE NOMINA
6100.021.0002,DESPENSA Y ART. ASEO PARA OFNA
6100.022.0002,LIMPIEZA
6100.023.0002,MANTTO. EQUIPO DE TRANSPORTE
6100.024.0002,MANTTO. DE EQUIPO COMPUTO
6100.025.0002,MANTTO. DE OFICINAS
6100.026.0002,SEGUROS Y FIANZAS
6100.027.0002,RENTA DE LOCALES
6100.028.0002,RENTA DE EQUIPO
6100.029.0002,PAPELERIA Y ARTICULOS PARA OFICINA
6100.030.0002,HONORARIOS PERSONAS MORALES
6100.031.0002,HONORARIOS PERSONAS FISICAS
6100.032.0002,CUOTAS Y SUSCRIPCIONES
6100.033.0002,DONATIVOS
6100.034.0002,IMPUESTO PREDIAL
6100.035.0002,RECARGOS FISCALES
6100.036.0002,AGUA
6100.037.0002,OTROS IMPUESTOS Y DERECHOS
6100.038.0002,MENSAJERIA
6100.039.0002,TELEFONOS
6100.040.0002,INTERNET
6100.041.0002,ENERGIA ELECTRICA
6100.042.0002,CASETAS Y PEAJES
6100.043.0002,COMBUSTIBLES Y LUBRICANTES
6100.044.0002,BOLETOS DE AVION
